Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,No,Travel_Rarely,951,Research & Development,1,4,Life Sciences,1,24,2,Male,100,3,1,Healthcare Representative,3,Divorced,2808,3306,3,Y,No,11,4,1,80,0,4,5,3,4,4,1,3
32,No,Travel_Rarely,1083,Sales,1,3,Other,1,25,4,Female,67,4,1,Laboratory Technician,3,Divorced,2965,18312,4,Y,Yes,15,3,1,80,0,11,3,2,2,2,1,1
38,No,Travel_Rarely,383,Research & Development,4,3,Life Sciences,1,26,4,Male,56,3,4,Laboratory Technician,2,Married,12632,4604,5,Y,Yes,14,3,3,80,0,17,0,3,15,10,3,2
27,No,Travel_Frequently,361,Research & Development,3,3,Life Sciences,1,27,3,Female,57,1,1,Research Scientist,3,Divorced,3874,23156,3,Y,No,12,3,2,80,0,9,2,3,1,1,1,1
40,Yes,Travel_Rarely,1441,Research & Development,8,3,Life Sciences,1,28,3,Male,44,3,1,Healthcare Representative,1,Divorced,5229,18197,6,Y,No,11,3,4,80,0,22,2,2,4,4,2,0
32,No,Travel_Rarely,926,Research & Development,6,4,Marketing,1,29,1,Male,66,2,2,Sales Executive,4,Divorced,7155,2812,2,Y,No,13,3,4,80,2,14,4,3,13,2,1,2
34,No,Travel_Rarely,647,Sales,5,4,Technical Degree,1,30,2,Male,61,2,2,Sales Executive,2,Divorced,7158,19896,1,Y,No,14,3,2,80,0,16,2,3,7,3,3,6
32,No,Travel_Rarely,1222,Research & Development,17,3,Life Sciences,1,31,2,Female,49,3,1,Laboratory Technician,4,Single,5388,23563,5,Y,No,14,3,4,80,1,11,2,4,2,0,0,2
54,Yes,Travel_Rarely,836,Research & Development,7,1,Life Sciences,1,32,1,Male,41,3,1,Research Scientist,2,Married,7430,18559,2,Y,No,11,4,1,80,0,36,5,1,4,1,1,1
37,No,Travel_Rarely,440,Research & Development,2,3,Life Sciences,1,33,3,Male,52,1,2,Research Scientist,4,Single,5726,2854,6,Y,No,15,3,3,80,2,16,1,3,9,4,4,2
27,No,Non-Travel,391,Sales,4,3,Life Sciences,1,34,2,Male,66,3,2,Manufacturing Director,1,Single,7335,23460,0,Y,Yes,12,3,4,80,0,9,3,3,9,4,3,3
44,No,Travel_Frequently,656,Sales,29,3,Life Sciences,1,35,3,Male,34,3,2,Manufacturing Director,1,Divorced,7929,20336,1,Y,Yes,18,3,4,80,0,24,2,2,16,0,0,7
26,No,Travel_Rarely,1303,Sales,29,4,Medical,1,36,3,Female,41,3,2,Manager,3,Married,6382,11519,7,Y,No,18,3,2,80,3,6,0,3,3,2,2,0
39,No,Travel_Frequently,188,Sales,4,2,Life Sciences,1,37,4,Female,96,4,3,Research Scientist,4,Married,9418,10279,1,Y,No,14,4,2,80,0,21,1,3,21,0,0,0
19,Yes,Travel_Frequently,407,Research & Development,3,4,Medical,1,38,1,Female,68,2,1,Sales Executive,3,Divorced,2094,14044,7,Y,No,20,3,2,80,1,1,2,3,0,0,0,0
25,Yes,Travel_Rarely,1350,Research & Development,7,2,Life Sciences,1,39,1,Male,34,3,1,Research Scientist,1,Divorced,4112,23689,8,Y,Yes,15,3,3,80,1,6,1,3,0,0,0,0
39,No,Travel_Frequently,272,Research & Development,7,4,Other,1,40,3,Female,79,2,2,Human Resources,3,Divorced,6347,8372,5,Y,No,11,3,3,80,0,19,2,4,12,0,0,1
44,No,Travel_Rarely,982,Research & Development,6,3,Human Resources,1,41,1,Male,34,2,1,Laboratory Technician,4,Single,4752,4609,2,Y,Yes,19,3,1,80,3,23,3,2,2,2,2,1
39,No,Travel_Rarely,400,Research & Development,8,4,Medical,1,42,4,Male,82,4,1,Healthcare Representative,1,Single,4930,23628,3,Y,No,20,3,3,80,2,19,3,3,0,0,0,0
36,No,Travel_Rarely,948,Sales,3,1,Life Sciences,1,43,3,Male,82,3,1,Sales Executive,1,Married,5660,2749,5,Y,Yes,18,3,4,80,2,15,2,3,2,1,1,0
34,No,Travel_Rarely,637,Research & Development,2,3,Life Sciences,1,44,3,Male,76,3,1,Laboratory Technician,4,Single,5310,24782,4,Y,Yes,13,3,3,80,3,16,2,3,4,4,1,4
24,No,Travel_Rarely,244,Research & Development,9,4,Medical,1,45,2,Female,81,3,2,Sales Executive,4,Single,6270,9709,2,Y,Yes,11,3,2,80,0,4,1,2,4,2,1,0
31,No,Travel_Rarely,916,Sales,25,3,Marketing,1,46,2,Female,36,3,3,Laboratory Technician,4,Married,7923,14751,9,Y,No,14,4,4,80,0,11,2,3,7,3,3,1
33,No,Non-Travel,1056,Sales,2,4,Medical,1,47,3,Female,81,4,1,Research Director,4,Divorced,5221,5389,3,Y,Yes,22,3,2,80,1,14,2,3,2,1,1,1
47,Yes,Non-Travel,1052,Research & Development,12,4,Technical Degree,1,48,1,Male,40,4,2,Research Director,1,Married,7681,24565,9,Y,No,11,3,4,80,0,28,5,3,5,1,1,5
40,Yes,Travel_Frequently,992,Research & Development,6,3,Other,1,49,1,Male,54,1,4,Laboratory Technician,3,Single,11559,20769,0,Y,Yes,17,3,2,80,0,20,2,3,18,2,2,4
21,No,Travel_Frequently,801,Research & Development,4,3,Life Sciences,1,50,3,Male,96,4,2,Laboratory Technician,3,Married,6237,25110,0,Y,No,15,3,3,80,1,1,2,2,1,0,0,1
40,No,Non-Travel,828,Sales,18,3,Medical,1,51,1,Male,65,3,2,Research Director,4,Single,7328,19110,2,Y,No,18,4,3,80,3,20,3,3,3,3,1,0
34,No,Travel_Rarely,990,Research & Development,6,3,Life Sciences,1,52,4,Male,98,3,2,Manufacturing Director,4,Single,5999,6694,1,Y,No,11,3,3,80,0,13,3,3,13,1,1,5
31,No,Travel_Rarely,1066,Research & Development,9,3,Life Sciences,1,53,2,Male,36,3,3,Sales Executive,4,Married,8658,9771,4,Y,No,14,4,3,80,2,13,5,4,9,2,2,2
43,Yes,Travel_Rarely,1017,Sales,6,4,Medical,1,54,1,Male,63,4,1,Laboratory Technician,2,Married,5914,14219,0,Y,Yes,12,3,2,80,0,24,2,1,0,0,0,0
46,Yes,Travel_Frequently,922,Research & Development,2,3,Life Sciences,1,55,2,Male,34,2,1,Research Scientist,1,Married,6135,17218,9,Y,Yes,12,3,3,80,0,28,0,3,0,0,0,0
45,No,Travel_Rarely,320,Sales,9,2,Technical Degree,1,56,2,Female,74,3,1,Laboratory Technician,2,Single,5499,25167,1,Y,No,17,3,3,80,2,26,2,2,1,1,1,1
29,No,Travel_Frequently,396,Research & Development,6,2,Life Sciences,1,57,1,Female,36,2,2,Laboratory Technician,3,Divorced,5876,11656,1,Y,No,12,3,2,80,3,10,1,3,9,9,1,5
34,Yes,Travel_Rarely,466,Sales,2,1,Medical,1,58,1,Female,42,3,1,Laboratory Technician,2,Married,5258,19604,1,Y,Yes,16,3,4,80,0,15,2,2,1,1,1,1
40,No,Travel_Rarely,1387,Sales,9,3,Medical,1,59,2,Female,48,4,1,Research Scientist,4,Married,4714,26028,2,Y,Yes,15,3,4,80,0,20,4,3,5,1,1,5
46,No,Travel_Frequently,1163,Sales,1,4,Marketing,1,60,2,Male,82,3,2,Sales Executive,2,Married,7559,5889,0,Y,No,12,3,4,80,0,27,3,3,1,1,1,1
33,No,Travel_Rarely,874,Sales,3,4,Life Sciences,1,61,4,Female,41,1,1,Laboratory Technician,1,Divorced,5469,23580,0,Y,No,13,3,3,80,2,15,1,2,15,11,3,2
35,No,Travel_Rarely,454,Research & Development,15,2,Technical Degree,1,62,4,Female,89,3,2,Manager,3,Married,7233,12572,3,Y,Yes,16,3,1,80,0,16,1,2,3,1,1,0
27,No,Travel_Rarely,257,Sales,1,5,Medical,1,63,2,Male,39,3,1,Manufacturing Director,4,Married,3594,20335,1,Y,No,15,3,3,80,0,9,5,3,9,1,1,6
26,Yes,Travel_Rarely,1358,Research & Development,10,3,Medical,1,64,1,Male,32,3,1,Research Scientist,2,Divorced,4599,9405,1,Y,No,15,3,4,80,1,7,2,3,7,1,1,1
44,No,Travel_Rarely,1349,Sales,28,5,Life Sciences,1,65,3,Female,58,2,2,Research Director,4,Married,9226,10412,4,Y,No,14,3,1,80,0,25,5,3,0,0,0,0
49,No,Travel_Rarely,257,Research & Development,3,4,Medical,1,66,4,Male,99,3,2,Sales Representative,3,Married,8460,2770,0,Y,Yes,14,3,3,80,0,29,3,2,4,4,0,1
36,No,Travel_Rarely,1216,Research & Development,6,4,Technical Degree,1,67,4,Male,38,4,1,Sales Executive,1,Married,5020,26287,1,Y,Yes,15,3,3,80,2,18,6,3,0,0,0,0
46,No,Travel_Rarely,726,Sales,9,2,Medical,1,68,1,Male,37,3,4,Sales Executive,1,Married,12406,22353,0,Y,Yes,19,3,2,80,3,27,4,2,17,10,2,0
40,No,Travel_Frequently,555,Human Resources,6,2,Technical Degree,1,69,3,Male,83,3,1,Healthcare Representative,4,Single,7239,4433,1,Y,No,17,3,3,80,3,21,2,3,5,4,3,1
31,Yes,Travel_Rarely,1135,Sales,10,1,Medical,1,70,4,Male,52,3,2,Manager,2,Married,7331,26987,3,Y,Yes,15,3,4,80,0,13,3,3,1,1,0,1
40,No,Travel_Rarely,960,Research & Development,6,4,Life Sciences,1,71,4,Male,80,2,1,Research Director,4,Divorced,4095,17162,0,Y,No,12,4,4,80,3,21,2,3,1,0,0,0
51,Yes,Travel_Frequently,1192,Research & Development,2,3,Life Sciences,1,72,1,Male,44,3,1,Sales Representative,3,Divorced,6693,23356,5,Y,No,14,4,2,80,1,30,2,3,3,3,3,2
37,No,Travel_Rarely,206,Research & Development,2,4,Life Sciences,1,73,3,Male,62,3,3,Manufacturing Director,2,Married,9839,3754,6,Y,No,12,4,3,80,0,17,2,3,17,1,1,0
51,No,Travel_Frequently,547,Research & Development,13,3,Marketing,1,74,2,Female,49,2,2,Laboratory Technician,2,Married,6589,11793,0,Y,No,13,3,2,80,1,33,2,2,8,1,1,1
18,Yes,Travel_Rarely,548,Research & Development,3,4,Technical Degree,1,75,1,Male,62,2,1,Sales Executive,1,Single,4550,18772,9,Y,No,11,3,3,80,0,0,1,4,0,0,0,0
44,No,Travel_Rarely,563,Sales,18,2,Life Sciences,1,76,3,Male,84,3,1,Research Scientist,3,Divorced,5478,4745,1,Y,No,15,3,4,80,1,23,1,3,3,3,0,1
38,Yes,Travel_Rarely,804,Sales,13,2,Medical,1,77,1,Male,83,2,2,Laboratory Technician,3,Divorced,8012,14270,0,Y,Yes,21,3,3,80,1,17,2,2,0,0,0,0
34,No,Non-Travel,497,Research & Development,1,3,Medical,1,78,4,Female,66,3,2,Manufacturing Director,4,Married,6583,13119,0,Y,No,16,3,4,80,1,13,5,2,13,7,1,2
38,Yes,Travel_Frequently,723,Research & Development,3,3,Medical,1,79,4,Male,95,3,1,Laboratory Technician,2,Divorced,5675,7474,1,Y,No,17,3,3,80,0,20,3,2,0,0,0,0
19,Yes,Travel_Rarely,616,Research & Development,4,3,Life Sciences,1,80,4,Male,48,1,1,Healthcare Representative,2,Married,4088,9572,2,Y,Yes,18,3,3,80,1,0,2,1,0,0,0,0
35,Yes,Travel_Rarely,1129,Research & Development,9,4,Life Sciences,1,81,2,Female,47,3,3,Research Scientist,1,Married,9331,26180,1,Y,Yes,14,3,4,80,0,17,2,3,3,3,1,0
40,Yes,Travel_Frequently,945,Research & Development,16,2,Life Sciences,1,82,1,Female,73,3,2,Laboratory Technician,2,Single,7718,9283,5,Y,Yes,14,3,4,80,3,22,2,3,0,0,0,0
50,No,Travel_Rarely,1015,Research & Development,2,3,Life Sciences,1,83,2,Male,73,1,1,Sales Executive,3,Married,5561,7409,3,Y,No,11,3,3,80,1,31,3,4,8,2,2,2
32,No,Travel_Frequently,396,Research & Development,4,4,Life Sciences,1,84,3,Female,33,2,3,Research Scientist,4,Married,8310,15448,1,Y,No,16,3,4,80,0,14,4,2,14,7,2,1
30,No,Travel_Rarely,557,Research & Development,5,2,Life Sciences,1,85,3,Male,73,3,2,Healthcare Representative,3,Married,6315,18804,3,Y,No,15,4,4,80,0,9,2,3,9,9,1,3
32,No,Travel_Frequently,132,Research & Development,3,5,Medical,1,86,3,Male,56,3,2,Healthcare Representative,4,Married,7704,20152,7,Y,Yes,12,3,4,80,1,14,3,3,1,1,1,1
45,No,Travel_Rarely,253,Sales,8,5,Life Sciences,1,87,3,Male,82,3,1,Human Resources,2,Divorced,6347,20879,0,Y,No,18,3,4,80,1,27,3,2,1,1,1,1
40,No,Travel_Rarely,472,Sales,7,2,Other,1,88,3,Male,87,2,1,Research Scientist,1,Single,4874,3011,1,Y,Yes,13,3,2,80,1,20,0,4,6,0,0,6
32,No,Travel_Rarely,193,Research & Development,4,3,Life Sciences,1,89,2,Female,69,3,3,Laboratory Technician,2,Married,7544,11901,2,Y,No,24,3,3,80,0,11,2,3,7,2,0,0
42,No,Non-Travel,944,Sales,8,3,Life Sciences,1,90,3,Male,30,3,1,Research Scientist,2,Married,6244,21369,2,Y,No,16,3,3,80,1,24,3,3,9,0,0,1
38,No,Travel_Rarely,1496,Research & Development,5,4,Life Sciences,1,91,3,Male,75,3,1,Laboratory Technician,3,Married,4940,24629,2,Y,Yes,15,3,3,80,0,19,3,3,1,1,1,1
46,No,Travel_Rarely,243,Research & Development,5,3,Life Sciences,1,92,4,Female,82,2,3,Sales Representative,2,Married,10243,17092,1,Y,No,21,3,4,80,1,28,0,4,22,0,0,0
31,No,Travel_Rarely,1249,Research & Development,4,4,Technical Degree,1,93,3,Female,47,2,2,Manufacturing Director,4,Single,6595,3397,3,Y,Yes,11,3,1,80,3,13,2,3,7,2,0,5
34,No,Travel_Rarely,268,Research & Development,8,4,Life Sciences,1,94,1,Male,63,3,2,Sales Representative,4,Single,7888,11972,3,Y,Yes,14,3,2,80,1,14,3,2,13,0,0,4
33,No,Travel_Frequently,1038,Human Resources,6,2,Other,1,95,3,Female,98,2,1,Sales Executive,2,Married,4170,3943,2,Y,No,14,3,4,80,0,12,2,2,5,5,0,2
24,No,Travel_Frequently,1000,Research & Development,3,4,Human Resources,1,96,3,Male,51,2,1,Sales Representative,4,Married,5191,20736,0,Y,Yes,14,3,1,80,3,3,4,3,3,1,1,2
40,No,Travel_Rarely,1363,Research & Development,1,4,Medical,1,97,1,Female,46,3,2,Sales Executive,3,Single,8067,3676,2,Y,No,16,4,2,80,0,21,0,3,21,1,1,0
39,Yes,Non-Travel,261,Research & Development,2,3,Medical,1,98,4,Female,45,3,1,Sales Representative,1,Married,5048,6720,1,Y,Yes,14,3,2,80,1,20,2,3,6,6,5,2
37,No,Travel_Frequently,543,Research & Development,1,5,Medical,1,99,2,Female,69,3,3,Research Scientist,4,Married,8137,12478,2,Y,Yes,19,4,4,80,1,18,2,2,14,4,4,5
35,No,Travel_Frequently,229,Research & Development,6,4,Life Sciences,1,100,3,Male,96,3,2,Research Scientist,1,Married,8502,13616,6,Y,Yes,16,3,3,80,0,17,5,4,17,1,1,3
24,No,Travel_Rarely,671,Research & Development,3,2,Medical,1,101,4,Male,73,3,3,Laboratory Technician,4,Divorced,7158,12217,2,Y,No,16,3,4,80,0,6,4,3,6,0,0,1
33,No,Travel_Frequently,1375,Research & Development,6,3,Life Sciences,1,102,3,Male,51,3,2,Research Director,2,Single,6965,13635,0,Y,Yes,16,3,2,80,0,14,4,3,6,4,0,3
34,No,Travel_Rarely,1194,Research & Development,5,3,Life Sciences,1,103,3,Male,75,4,1,Sales Executive,2,Single,5116,19857,1,Y,No,11,4,4,80,2,13,2,1,0,0,0,0
30,No,Travel_Rarely,1112,Research & Development,8,2,Medical,1,104,1,Male,74,3,1,Research Scientist,3,Married,4528,11291,4,Y,No,16,3,2,80,2,9,4,4,0,0,0,0
36,No,Travel_Frequently,847,Research & Development,13,5,Medical,1,105,1,Female,72,3,1,Sales Representative,4,Married,5785,15736,4,Y,No,16,4,2,80,0,17,4,3,2,2,2,2
41,No,Travel_Rarely,1336,Research & Development,7,2,Human Resources,1,106,3,Male,41,3,2,Research Scientist,1,Married,6536,9649,2,Y,No,12,3,3,80,0,21,2,3,1,1,1,1
54,Yes,Travel_Rarely,730,Research & Development,2,4,Life Sciences,1,107,3,Male,74,4,2,Sales Executive,1,Divorced,9786,10901,1,Y,Yes,18,3,1,80,2,33,6,4,2,2,2,2
39,No,Travel_Frequently,311,Research & Development,1,3,Technical Degree,1,108,2,Female,60,1,1,Laboratory Technician,3,Divorced,4580,17381,2,Y,No,11,3,3,80,1,18,4,4,3,3,2,3
39,Yes,Travel_Frequently,1272,Research & Development,3,1,Life Sciences,1,109,4,Male,31,3,3,Research Scientist,1,Divorced,8885,14310,2,Y,Yes,23,3,2,80,0,20,5,2,3,3,2,0
36,No,Travel_Rarely,493,Research & Development,6,5,Life Sciences,1,110,2,Female,68,3,2,Sales Representative,3,Married,5649,20101,9,Y,No,15,3,2,80,0,15,4,4,4,0,0,4
20,No,Travel_Frequently,177,Research & Development,1,4,Life Sciences,1,111,3,Male,99,3,1,Healthcare Representative,4,Married,4797,16054,3,Y,No,12,3,4,80,0,2,3,3,1,1,0,1
37,No,Travel_Rarely,278,Research & Development,5,3,Life Sciences,1,112,3,Male,54,3,1,Laboratory Technician,4,Married,6830,22107,3,Y,Yes,17,3,3,80,1,19,5,1,0,0,0,0
38,No,Travel_Rarely,953,Research & Development,21,3,Life Sciences,1,113,3,Male,98,3,2,Human Resources,4,Single,8567,13137,2,Y,No,17,3,4,80,1,17,2,2,8,2,0,6
59,No,Travel_Frequently,950,Sales,2,2,Medical,1,114,3,Male,37,1,3,Laboratory Technician,4,Married,11508,14323,1,Y,No,21,3,4,80,0,40,4,3,5,5,0,2
35,No,Travel_Rarely,465,Research & Development,28,3,Technical Degree,1,115,2,Female,81,3,3,Sales Executive,4,Single,8303,18780,4,Y,Yes,20,3,2,80,2,15,2,3,4,1,1,4
40,No,Travel_Rarely,1118,Research & Development,18,3,Medical,1,116,4,Male,38,3,2,Research Scientist,4,Divorced,7121,7604,2,Y,No,11,3,3,80,0,19,3,3,7,7,1,1
37,No,Travel_Rarely,1183,Research & Development,17,3,Medical,1,117,3,Male,49,3,3,Laboratory Technician,1,Married,8582,11706,9,Y,No,14,3,3,80,1,18,4,2,12,3,1,1
26,No,Travel_Rarely,1388,Research & Development,19,5,Technical Degree,1,118,3,Male,70,1,1,Sales Executive,3,Married,3469,17656,2,Y,No,12,3,4,80,0,8,3,3,4,4,4,3
47,No,Travel_Rarely,919,Research & Development,2,3,Marketing,1,119,3,Male,71,3,1,Research Director,4,Married,5724,2813,0,Y,No,17,4,4,80,1,27,4,3,7,4,0,6
44,No,Travel_Frequently,1191,Research & Development,2,5,Medical,1,120,1,Female,84,4,2,Healthcare Representative,3,Single,8247,12977,3,Y,No,19,3,3,80,0,24,2,3,21,0,0,7
44,No,Travel_Frequently,1154,Sales,2,4,Life Sciences,1,121,4,Male,73,1,3,Research Scientist,4,Single,8786,17008,0,Y,No,11,4,1,80,0,26,2,4,13,1,0,3
29,Yes,Travel_Rarely,462,Research & Development,2,3,Human Resources,1,122,3,Female,72,1,2,Laboratory Technician,1,Married,4495,26186,1,Y,No,15,3,3,80,2,9,0,3,4,2,1,2
50,No,Travel_Frequently,535,Research & Development,5,4,Medical,1,123,3,Female,94,3,2,Healthcare Representative,4,Single,6918,23936,1,Y,Yes,13,3,4,80,0,29,1,2,7,1,1,1
24,No,Travel_Rarely,770,Sales,17,3,Life Sciences,1,124,4,Male,62,3,1,Research Director,4,Married,4775,9086,3,Y,No,18,3,4,80,1,4,3,3,1,1,1,1
42,No,Travel_Rarely,129,Sales,4,4,Life Sciences,1,125,4,Female,46,3,3,Sales Representative,1,Divorced,7945,14726,2,Y,No,16,3,4,80,3,24,3,4,6,2,1,1
57,No,Travel_Frequently,517,Research & Development,4,3,Technical Degree,1,126,3,Male,41,3,5,Laboratory Technician,1,Divorced,13582,3499,0,Y,Yes,19,3,3,80,1,37,2,2,28,9,0,4
28,Yes,Travel_Rarely,764,Research & Development,11,2,Life Sciences,1,127,4,Male,58,2,1,Healthcare Representative,2,Married,4293,8090,2,Y,Yes,14,3,1,80,0,10,2,4,5,2,1,2
32,No,Travel_Rarely,253,Sales,2,4,Other,1,128,2,Male,80,3,1,Laboratory Technician,4,Single,5126,21392,1,Y,No,15,3,4,80,0,14,2,1,14,5,0,3
38,No,Travel_Rarely,278,Human Resources,5,3,Life Sciences,1,129,3,Female,33,3,2,Laboratory Technician,3,Divorced,7228,5165,6,Y,No,16,3,4,80,2,18,3,3,4,4,1,2
32,No,Travel_Rarely,749,Research & Development,4,5,Technical Degree,1,130,1,Female,39,4,3,Sales Executive,4,Divorced,8840,8512,2,Y,No,14,3,1,80,0,14,3,3,14,6,2,10
23,Yes,Travel_Frequently,1123,Human Resources,18,5,Life Sciences,1,131,1,Male,37,4,1,Sales Executive,3,Single,4081,25605,3,Y,Yes,16,3,1,80,1,5,1,3,5,1,0,3
38,No,Travel_Rarely,1267,Research & Development,8,2,Medical,1,132,1,Female,71,3,2,Laboratory Technician,4,Married,6364,22612,1,Y,No,19,3,3,80,1,19,3,3,0,0,0,0
27,No,Travel_Rarely,865,Research & Development,10,3,Human Resources,1,133,2,Male,47,3,1,Research Scientist,3,Single,5001,21565,4,Y,No,21,4,4,80,1,6,2,3,6,1,1,0
41,No,Travel_Rarely,765,Research & Development,2,3,Medical,1,134,1,Male,42,3,1,Sales Executive,2,Divorced,4229,23626,3,Y,Yes,14,3,3,80,1,23,3,3,2,2,1,2
29,Yes,Travel_Rarely,639,Research & Development,25,4,Medical,1,135,3,Male,71,3,1,Healthcare Representative,1,Divorced,5065,20763,6,Y,Yes,21,3,1,80,0,8,1,3,0,0,0,0
51,No,Travel_Rarely,372,Research & Development,5,4,Life Sciences,1,136,2,Female,83,2,1,Sales Executive,4,Single,7275,5097,0,Y,No,13,3,3,80,1,32,6,3,12,5,5,4
30,No,Travel_Rarely,307,Sales,12,3,Life Sciences,1,137,4,Female,53,4,1,Laboratory Technician,2,Divorced,6549,14959,1,Y,Yes,18,3,2,80,1,11,1,3,2,2,1,2
34,Yes,Travel_Frequently,1208,Research & Development,29,3,Life Sciences,1,138,1,Male,70,3,3,Laboratory Technician,1,Married,7997,13158,3,Y,Yes,14,3,2,80,0,15,3,3,11,2,2,0
